Company,Industry,Sector
Volkswagen Commercial Vehicles,Motor Vehicle Manufacturing,Manufacturing
EF English Live,E-Learning Providers,Education
Mulberry England,Retail Luxury Goods and Jewelry,Retail
Daniel Wellington,Retail Luxury Goods and Jewelry,Retail
Pentland Brands,Apparel and Fashion,Retail
Greggs,Food and Beverage Services,Accomodation Services
PokerStars,Entertainment Providers,Entertainment Providers
Supermassive Games Ltd,Computer Games,"Technology, Information and Media"
Lounge,Retail Apparel and Fashion,Retail
Synamedia,Broadcast Media Production and Distribution,"Technology, Information and Media"
UK Power Networks,Utilities,Utilities
Screwfix,Retail,Retail
Creative Technology,Events Services,Administrative and Support Services
Kaufland,Retail,Retail
Mitchells & Butlers PLC,Hospitality,Accomodation Services
Volta Trucks,Motor Vehicle Manufacturing,Manufacturing
Rocco Forte Hotels,Hospitality,Accomodation Services
Argos,Retail,Retail
JMC Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Foundation FSSC,Food and Beverage Services,Accomodation Services
London Gatwick,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Tony's Chocolonely,Food and Beverage Services,Accomodation Services
Kahoot!,E-Learning Providers,Education
BMW,Motor Vehicle Manufacturing,Manufacturing
The British Museum,"Museums, Historical Sites, and Zoos",Entertainment Providers
Keywords Studios,Computer Games,"Technology, Information and Media"
SAS - Scandinavian Airlines,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
BENTELER Group,Motor Vehicle Manufacturing,Manufacturing
Uniper,Utilities,Utilities
Albert Heijn,Retail,Retail
Larian Studios,Computer Games,"Technology, Information and Media"
Ahold Delhaize,Retail,Retail
AVL,Motor Vehicle Manufacturing,Manufacturing
marcus evans Group,Events Services,Administrative and Support Services
Norwegian,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
BrewDog,Food and Beverage Services,Accomodation Services
ICA Gruppen,Retail,Retail
pv magazine Global,Broadcast Media Production and Distribution,"Technology, Information and Media"
MAN Truck & Bus SE,Motor Vehicle Manufacturing,Manufacturing
EUROCONTROL,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Lidl in Germany,Retail,Retail
SSE plc,Utilities,Utilities
River Island,Retail,Retail
ARRI,Entertainment Providers,Entertainment Providers
Handelsbanken,Banking,Financial Services
Entain,Entertainment Providers,Entertainment Providers
Small Luxury Hotels of the World,Hospitality,Accomodation Services
Mercedes-Benz in the UK,Motor Vehicle Manufacturing,Manufacturing
Frasers Group,Retail,Retail
Action,Retail,Retail
GKN Automotive,Motor Vehicle Manufacturing,Manufacturing
Liberty.,Retail,Retail
Mercedes-Benz Deutschland,Motor Vehicle Manufacturing,Manufacturing
Vivienne Westwood,Retail Luxury Goods and Jewelry,Retail
Selina,Hospitality,Accomodation Services
Knorr-Bremse AG,Motor Vehicle Manufacturing,Manufacturing
Commerzbank AG,Banking,Financial Services
& Other Stories,Retail Apparel and Fashion,Retail
Boohoo Group PLC,Retail Apparel and Fashion,Retail
ScottishPower,Utilities,Utilities
John Lewis Partnership,Retail,Retail
RIMOWA,Retail Luxury Goods and Jewelry,Retail
DAF Trucks NV,Motor Vehicle Manufacturing,Manufacturing
Urban Outfitters Europe,Retail,Retail
Ontex,Consumer Goods,Retail
Playrix,Computer Games,"Technology, Information and Media"
JYSK,Retail,Retail
Audi Deutschland,Motor Vehicle Manufacturing,Manufacturing
HR Trends 2030,E-Learning Providers,Education
Finnair,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Menzies Aviation,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Vitesco Technologies,Motor Vehicle Manufacturing,Manufacturing
AllSaints,Apparel and Fashion,Retail
Merlin Entertainments,Entertainment Providers,Entertainment Providers
Aer Lingus,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
SPAR International,Retail,Retail
DO & CO AG,Hospitality,Accomodation Services
Natural History Museum,"Museums, Historical Sites, and Zoos",Entertainment Providers
Sony Europe,Entertainment Providers,Entertainment Providers
25hours Hotels,Hospitality,Accomodation Services
GROHE,Consumer Goods,Retail
bol,Retail,Retail
Colruyt Group,Retail,Retail
Jumbo Supermarkten,Retail,Retail
KOSTAL Group,Motor Vehicle Manufacturing,Manufacturing
Bank of Ireland,Banking,Financial Services
Dr. Martens plc,Retail Apparel and Fashion,Retail
INEOS Automotive,Motor Vehicle Manufacturing,Manufacturing
Transavia,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
ALDI SÜD,Retail,Retail
No-Company,Capital Markets,Financial Services
BMW M,Motor Vehicle Manufacturing,Manufacturing
REWE Group,Retail,Retail
B&M Retail,Retail,Retail
FutureLearn,E-Learning,Education
CBRE UK,Real Estate,Real Estate and Equipment Rental Services
New Look,Retail,Retail
Santander UK,Banking,Financial Services
Taylor Wimpey plc,Real Estate,Real Estate and Equipment Rental Services
Arcadia Group Ltd,Retail,Retail
Packt,E-Learning Providers,Education
Superdrug,Retail,Retail
Opel,Motor Vehicle Manufacturing,Manufacturing
Civil Aviation Authority,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Triumph Motorcycles Limited,Motor Vehicle Manufacturing,Manufacturing
National Theatre,Performing Arts,Entertainment Providers
Gordon Ramsay Restaurants,Hospitality,Accomodation Services
AIB,Banking,Financial Services
Amer Sports,Retail,Retail
Rixos Hotels,Hospitality,Accomodation Services
RX Global,Events Services,Administrative and Support Services
ASICS EMEA,Retail,Retail
